[2022-07-02 19:00:43,982] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 19:00:44,408] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:00:49,097] [ERROR] zhangsan2 刚刚进入了帮助页面
[2022-07-02 19:00:49,098] [INFO] zhangsan2 刚刚进入了帮助页面
[2022-07-02 19:00:49,098] [WARNING] zhangsan2 刚刚进入了帮助页面
[2022-07-02 19:00:49,103] [INFO] "GET /help/ HTTP/1.1" 200 7741
[2022-07-02 19:02:41,490] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 19:02:41,872] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:02:42,203] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 19:02:42,263] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:02:42,269] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 19:02:43,322] [INFO] "GET /get_project_list/ HTTP/1.1" 200 442
[2022-07-02 19:02:45,926] [WARNING] zhangsan2 删除了平台的一个项目
[2022-07-02 19:02:45,937] [INFO] "GET /delete_project/?project_id=59 HTTP/1.1" 200 212
[2022-07-02 19:04:22,269] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 19:08:38,853] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 19:08:39,245] [INFO] Watching for file changes with StatReloader[2022-07-02 19:15:09,884] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:20:31,173] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 19:20:31,559] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:21:09,630] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 19:21:10,033] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:30:51,659] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 19:30:52,105] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:37:53,166] [INFO] Watching for file changes with StatReloader
[2022-07-02 19:37:56,902] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 19:37:56,923] [INFO] "GET /static/css/app.0feb4402.css HTTP/1.1" 304 0
[2022-07-02 19:37:56,925] [INFO] "GET /static/js/app.7885c21f.js HTTP/1.1" 304 0
[2022-07-02 19:37:56,925] [INFO] "GET /static/css/chunk-vendors.dd50ba92.css HTTP/1.1" 304 0
